"entity","type","direction","source","notes","date"
"177.246.177.235","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"198.252.89.155","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"81.183.211.206","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"46.1.79.101","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"159.224.83.246","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-11"
"109.99.1.163","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"45.76.106.179","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"93.39.253.65","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"114.215.89.174","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"14.172.160.195","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"66.169.19.174","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-11"
"155.133.44.170","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"155.133.41.232","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"93.201.191.241","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"39.36.0.208","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"155.133.24.48","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"189.81.241.203","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"203.151.165.34","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"113.107.136.95","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"73.72.249.183","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host","2017-03-21"
"37.156.5.4","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-21"
"78.187.76.241","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-21"
"94.228.207.133","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Malicious Host","2017-03-21"
"114.35.79.64","IPv4","inbound","http://reputation.alienvault.com/reputation.data","Scanning Host;Malicious Host","2017-03-21"
